casa,count,mean,std,min,25%,50%,75%,max
casa_2000905,54397.0,50.35286872437818,34.25282210038313,0.0,35.0,43.0,55.0,545.0
casa_2000902,52514.0,36.74530601363446,69.52847196975111,0.0,0.0,0.0,40.0,700.0
casa_2000911,53552.0,33.17610920227069,46.11569169679666,0.0,11.0,22.0,33.0,782.0
casa_2000910,53641.0,43.63555862120393,58.09129629287581,0.0,23.0,32.0,46.0,886.0
casa_2000913,53223.0,52.12609210303816,59.610984578915584,0.0,27.0,36.0,52.0,890.0
casa_2000903,54310.0,84.41493279322408,100.80776069323507,0.0,33.0,48.0,87.0,1158.0
casa_2000906,57434.0,64.67714245917053,66.51728340750554,0.0,36.0,50.0,70.0,6192.0
casa_2000907,57396.0,119.59744581503938,161.8762247903468,0.0,28.0,49.0,126.0,10593.0
casa_2000900,53975.0,104.08496526169523,182.55413406448199,0.0,30.0,55.0,120.0,29978.0
casa_2000908,53258.0,66.30686469638364,165.65102262678388,0.0,33.25,46.0,61.0,32713.0
casa_2000901,54404.0,89.32113447540623,187.9935692791596,0.0,32.0,46.0,75.0,34095.0
casa_2000904,53581.0,195.30762770385024,276.7535086020843,0.0,59.0,124.0,279.0,49411.0
casa_2000912,53231.0,146.81809471924254,349.91478997132384,0.0,39.0,65.0,164.0,66525.0
casa_2000909,53265.0,180.834112456585,610.8766448919438,0.0,49.0,102.0,270.0,135056.0
