ID,durata_timp,inceput_timp,final_timp
2000900,374.861,1998-01-22 13:40:00,1999-02-01 10:20:00
2000901,377.84,1998-01-22 17:40:00,1999-02-04 13:50:00
2000902,364.715,1998-02-04 16:40:00,1999-02-04 09:50:00
2000903,377.188,1998-01-23 11:20:00,1999-02-04 15:50:00
2000904,372.125,1998-01-25 11:30:00,1999-02-01 14:30:00
2000905,377.792,1998-01-23 19:10:00,1999-02-05 14:10:00
2000906,398.882,1998-01-26 16:00:00,1999-03-01 13:10:00
2000907,398.618,1998-01-26 19:20:00,1999-03-01 10:10:00
2000908,369.882,1998-01-28 12:20:00,1999-02-02 09:30:00
2000909,369.931,1998-01-28 15:20:00,1999-02-02 13:40:00
2000910,372.542,1998-01-28 19:50:00,1999-02-05 08:50:00
2000911,371.924,1998-01-29 12:00:00,1999-02-05 10:10:00
2000912,369.694,1998-01-29 16:30:00,1999-02-03 09:10:00
2000913,369.639,1998-01-29 19:10:00,1999-02-03 10:30:00
