casa,aparat,categorie,puncte_taiate,valoare_medie,date_taiate
casa_2000909,Electric Cooker (hot plate+oven) (3 radiant),plita,2,12,1998-03-06 19:00:00; 1999-01-26 22:00:00
casa_2000907,Clothes drier (without condenser) (),uscator,2,14,1998-02-17 15:00:00; 1998-09-26 19:40:00
casa_2000912,Site consumption (),site,2,145,1998-06-07 10:40:00; 1998-09-13 08:00:00
casa_2000900,Site consumption (),site,1,104,1998-04-12 09:20:00
casa_2000901,"Chest freezer (Kitchen, 200l)",frigider,1,12,1998-09-20 10:00:00
casa_2000901,"Clothes drier (without condenser) (3,2kW)",uscator,1,14,1998-09-20 10:00:00
casa_2000901,Dish washer (12 place setting),vase,1,10,1998-09-20 10:00:00
casa_2000900,Water heater (),boiler_el,1,35,1998-04-12 09:20:00
casa_2000900,"Halogen lamp 1 (0,5kW)",lampa,1,2,1998-04-12 09:20:00
casa_2000900,Power supply for wood boiler (),pompa_boiler,1,7,1998-04-12 09:20:00
casa_2000901,TV (67cm),tv,1,4,1998-09-20 10:00:00
casa_2000901,Site consumption (),site,1,89,1998-09-20 10:00:00
casa_2000901,"Fridge (Kitchen, 200l)",frigider,1,4,1998-09-20 10:00:00
casa_2000901,"Washing machine (4,5kg, 2,2kW)",spalat,1,6,1998-09-20 10:00:00
casa_2000904,Site consumption (),site,1,194,1998-01-25 11:30:00
casa_2000904,Total site light consumption (),total_light,1,16,1998-01-25 11:30:00
casa_2000904,Clothes drier (without condenser) (5kg),uscator,1,14,1998-01-25 11:30:00
casa_2000904,"Chest freezer (Garage, 200l)",frigider,1,9,1998-01-25 11:30:00
casa_2000904,Water heater (),boiler_el,1,54,1998-01-25 11:30:00
casa_2000906,Fridge freezer (267l/48l),frigider,1,11,1998-02-28 09:40:00
casa_2000906,TV (70cm),tv,1,5,1998-02-28 09:40:00
casa_2000908,Clothes drier (with condenser) (),uscator,1,5,1998-10-01 10:10:00
casa_2000908,Dish washer (12 place setting),vase,1,6,1998-10-01 10:10:00
casa_2000908,Electric oven (),cuptor,1,2,1998-10-01 10:10:00
casa_2000904,Washing machine (5kg),spalat,1,11,1998-01-25 11:30:00
casa_2000904,Electric Cooker (hot plate+oven) (),plita,1,5,1998-01-25 11:30:00
casa_2000908,Site consumption (),site,1,66,1998-10-01 10:10:00
casa_2000908,"Fridge freezer (Kitchen, 182l/48l)",frigider,1,9,1998-10-01 10:10:00
casa_2000908,"Vertical freezer (Kitchen, 265l)",frigider,1,12,1998-10-01 10:10:00
casa_2000908,TV (51cm),tv,1,4,1998-10-01 10:10:00
casa_2000909,Electric heating (altogether) (),incalzire,1,31,1999-01-26 22:00:00
casa_2000909,"Fridge freezer (Kitchen, 221l/87l)",frigider,1,12,1999-01-26 22:00:00
casa_2000909,Microwave oven (),microunde,1,3,1999-01-26 22:00:00
casa_2000908,Washing machine (),spalat,1,7,1998-10-01 10:10:00
casa_2000909,Site consumption (),site,1,178,1999-01-26 22:00:00
casa_2000909,TV (78cm),tv,1,6,1999-01-26 22:00:00
casa_2000909,Washing machine (),spalat,1,9,1999-01-26 22:00:00
casa_2000909,Total site light consumption (),total_light,1,10,1999-01-26 22:00:00
casa_2000909,Water heater (),boiler_el,1,51,1999-01-26 22:00:00
casa_2000912,"Fridge freezer (Kitchen, 325l/75l)",frigider,1,17,1998-09-13 08:00:00
casa_2000912,TV (67cm),tv,1,4,1998-09-13 08:00:00
casa_2000912,"Vertical freezer (Storeroom, 145l)",frigider,1,12,1998-09-13 08:00:00
